Twitter ID,Indicator score,Classification,Product(s) as reported,Product coded (INN),Event(s) as reported,Event(s) coded (PT),Product-Event(s),Indication(s) as reported,Indication(s) coded (PT),Product-Indication(s)
495104160677646336,"-0,175139993429184",Non-AE Tweet,,,,,,,,
495237859599982592,"-0,004110000096262",Non-AE Tweet,,,,,,,,
495591574206558208,"-0,062219999730587",Non-AE Tweet,,,,,,,,
495632851531223040,"-0,167649999260902",Non-AE Tweet,,,,,,,,
499126863877267457,"0,001210000016727",Non-AE Tweet,,,,,,,,
499219962452385793,"0,157210007309914",Non-AE Tweet,,,,,,,,
497131371618648065,"0,205449998378754",Non-AE Tweet,,,,,,,,
498992469439049730,"0,073279999196529",Non-AE Tweet,,,,,,,,
498530488965816321,"0,011400000192225",Non-AE Tweet,,,,,,,,
498484171044425729,"-0,184670001268387",Non-AE Tweet,,,,,,,,
497035159838158848,"-0,121509999036789",Non-AE Tweet,,,,,,,,
499162898753536000,"0,052960000932217",Non-AE Tweet,,,,,,,,
500755977956642816,"0,365020006895065",Non-AE Tweet,,,,,,,,
496322730552070144,"-0,068130001425743",Non-AE Tweet,,,,,,,,
498391837036384257,"-0,129739999771118",Non-AE Tweet,,,,,,,,
499848619332104192,"-0,055929999798536",Non-AE Tweet,,,,,,,,
496358282836336640,"-0,139369994401932",Non-AE Tweet,,,,,,,,
497891864968953856,"0,041280001401901",Non-AE Tweet,,,,,,,,
497778801175044096,"0,085359998047352",Non-AE Tweet,,,,,,,,
499984863240675328,"-0,145229995250702",Non-AE Tweet,,,,,,,,
496651102784614400,"-0,118270002305508",Non-AE Tweet,,,,,,,,
500179177266352129,"0,175109997391701",Non-AE Tweet,,,,,,,,
500119265530220544,"0,064120002090931",Non-AE Tweet,,,,,,,,
500224584591761408,"0,128140002489090",Non-AE Tweet,,,,,,,,
500288154163609600,"0,269059985876083",Non-AE Tweet,,,,,,,,
497921003192713218,"0,110480003058910",Non-AE Tweet,,,,,,,,
502566338133786627,"-0,121699996292591",Non-AE Tweet,,,,,,,,
502526923751563264,"0,117179997265339",Non-AE Tweet,,,,,,,,
505948398084562945,"0,481460005044937",Non-AE Tweet,,,,,,,,
506095629622194176,"-0,168400004506111",Non-AE Tweet,,,,,,,,
506018969468149760,"0,100489996373653",Non-AE Tweet,,,,,,,,
496003222553645056,"0,025820000097156",Non-AE Tweet,,,,,,,,
506170787553099776,"-0,048810001462698",Non-AE Tweet,,,,,,,,
501641920868007936,"-0,053459998220205",Non-AE Tweet,,,,,,,,
501612579777552384,"-0,025560000911355",Non-AE Tweet,,,,,,,,
501694392910884865,"0,104479998350143",Non-AE Tweet,,,,,,,,
501559818008526848,"0,398759990930557",Non-AE Tweet,,,,,,,,
505252256103800832,"-0,081670001149178",Non-AE Tweet,,,,,,,,
503189811323080704,"0,246010005474091",Non-AE Tweet,,,,,,,,
501115275669151747,"0,122649997472763",Non-AE Tweet,,,,,,,,
571517451956928513,"-0,014879999682307",Non-AE Tweet,,,,,,,,
569596288796225536,"-0,183390006422997",Non-AE Tweet,,,,,,,,
567218018212937728,"-0,136089995503426",Non-AE Tweet,,,,,,,,
567460664537411584,"-0,068659998476505",Non-AE Tweet,,,,,,,,
569469204488785920,"0,082290001213551",Non-AE Tweet,,,,,,,,
569538008598253568,"0,167089998722076",Non-AE Tweet,,,,,,,,
567392717903519744,"0,151289999485016",Non-AE Tweet,,,,,,,,
564938659729010689,"-0,094590000808239",Non-AE Tweet,,,,,,,,
565078441892929536,"-0,190249994397163",Non-AE Tweet,,,,,,,,
565176635230396416,"-0,046629998832941",Non-AE Tweet,,,,,,,,
570882180039221248,"0,131190001964569",Non-AE Tweet,,,,,,,,
570904175342686208,"-0,145400002598763",Non-AE Tweet,,,,,,,,
568650311591546881,"0,194769993424416",Non-AE Tweet,,,,,,,,
570139461641576448,"-0,154449999332428",Non-AE Tweet,,,,,,,,
497818743687221248,"-0,069920003414154",Non-AE Tweet,,,,,,,,
505624266780708864,"0,149800002574921",Non-AE Tweet,,,,,,,,
505703425665822720,"0,088610000908375",Non-AE Tweet,,,,,,,,
501271493460758528,"-0,139180004596710",Non-AE Tweet,,,,,,,,
